Date,High,Low,Close,Open
2020-03-23,12018.65,11775.75,11937.65,11958.55
2020-03-24,11939.55,11823.45,11896.45,11890
2020-03-25,11974.55,11908.75,11930.35,11957.9
2020-03-26,11942.85,11711.7,11767.75,11937.4
2020-03-27,11899.05,11723,11889.4,11807.1
2020-03-28,11929.4,11684.85,11729.6,11922.6
2020-03-29,11744.15,11606.45,11670.8,11633.3
2020-03-30,11748.95,11535.45,11642.4,11678.45
2020-03-31,11725.65,11557.4,11669.15,11697.35
2020-04-01,11836.2,11723.3,11813.5,11734.45
2020-04-02,11929.65,11756.4,11908.5,11783.35
2020-04-03,12131.1,12027.6,12120.3,12062.4
2020-04-04,12280.4,12131.85,12263.55,12156.65
2020-04-05,12474.05,12367.35,12461.05,12399.4
2020-04-06,12643.9,12475.25,12631.1,12556.4
2020-04-07,12769.75,12571.1,12749.15,12680.6
2020-04-08,12741.15,12624.85,12690.8,12702.15
2020-04-09,12735.95,12607.7,12719.95,12659.7
2020-04-10,12828.7,12749.45,12780.25,12823.35
2020-04-11,12934.05,12797.1,12874.2,12932.5
2020-04-12,12948.85,12819.35,12938.25,12860.1
2020-04-13,12963,12745.75,12771.7,12839.5
2020-04-14,12892.45,12730.25,12859.05,12813.4
2020-04-15,12968.85,12825.7,12926.45,12960.3
2020-04-16,13079.1,12978,13055.15,13002.6
2020-04-17,13145.85,12833.65,12858.4,13130
2020-04-18,13018,12790.4,12987,12906.45
2020-04-19,13035.3,12914.3,12968.95,13012.05
2020-04-20,13128.4,12962.8,13109.05,13062.2
2020-04-21,13128.5,12983.55,13113.75,13121.4
2020-04-22,13216.6,13107.9,13133.9,13215.3
2020-04-23,13280.05,13152.85,13258.55,13177.4
2020-04-24,13366.65,13241.95,13355.75,13264.85
2020-04-25,13435.45,13311.05,13392.95,13393.85
2020-04-26,13548.9,13449.6,13529.1,13458.1
2020-04-27,13503.55,13399.3,13478.3,13488.5
2020-04-28,13579.35,13402.85,13513.85,13512.3
2020-04-29,13597.5,13472.45,13558.15,13571.45
2020-04-30,13589.65,13447.05,13567.85,13547.2
2020-05-01,13692.35,13606.45,13682.7,13663.1
2020-05-02,13773.25,13673.55,13740.7,13713.55
2020-05-03,13772.85,13658.6,13760.55,13764.4
2020-05-04,13777.5,13131.45,13328.4,13741.9
2020-05-05,13492.05,13192.9,13466.3,13373.65
2020-05-06,13619.45,13432.2,13601.1,13473.5
2020-05-07,13771.75,13626.9,13749.25,13672.15
2020-05-08,13885.3,13811.55,13873.2,13815.15
2020-05-09,13967.6,13859.9,13932.6,13910.35
2020-05-10,13997,13864.95,13981.95,13980.9
2020-05-11,14024.85,13936.45,13981.75,13970
2020-05-12,14049.85,13991.35,14018.5,13996.1
2020-05-13,14147.95,13953.75,14132.9,14104.35
2020-05-14,14215.6,14048.15,14199.5,14075.15
2020-05-15,14244.15,14039.9,14146.25,14240.95
2020-05-16,14256.25,14123.1,14137.35,14253.75
2020-05-17,14367.3,14221.65,14347.25,14258.4
2020-05-18,14498.2,14383.1,14484.75,14474.05
